"(0, 0)","(2, 0)","(3, 0)","(4, 0)","(5, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(5, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(0, 4)","(4, 4)","(5, 4)","(0, 5)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9900000000000002,1.78105,1.770655,1.6552600000000002,1.770655,1.5508549999999999,0.469295,1.5821,1.583485,1.4276400000000002,0.481135,-0.19450000000000003,0.648445,1.49894,1.583485,1.687495,-0.09950000000000002,-0.10890500000000002,-0.20390500000000006,0.648445,1.49894,1.57309,-0.09950000000000002,0.57469,1.384535,-0.09950000000000002,-0.09950000000000002,-0.09950000000000002,-0.09950000000000002,-0.09950000000000002,0.49054
2.970100000000001,2.6572103950000003,2.6376514600000003,2.5201002400000005,2.636524345,2.4710748500000004,1.135227905,2.4138168200000005,2.367810025,2.28503148,1.206654025,0.27173753000000006,1.3321627600000001,2.27508119,2.359577185,2.4647143000000002,0.3104268250000001,-0.15884109500000004,-0.18724330000000006,1.2653689449999999,2.2740520849999997,2.3400182500000004,-0.148505,1.236123755,2.1348505550000003,-0.148505,-0.148505,-0.148505,-0.148505,0.29055149,1.0852646799999999
3.940399000000001,3.5237019564850005,3.4950513198550004,3.377107128760001,3.4936331151550006,3.404343172745001,1.9513808592650006,3.2513113879100004,3.1516660721500003,3.1405635142800006,2.0534520451450002,0.9073322819899999,2.1138779747200007,3.040787794355,3.12802488403,3.2258993110150005,0.92067697507,0.2070347924650001,0.25961916307000005,2.0065538146849997,3.025718462825,3.0986513746450006,0.16645405540000008,1.9897757080099998,2.8820209106900005,-0.19701995,-0.19701995,-0.19701995,0.15071279008000002,0.8656704758149999,1.7770074403900002
4.900995010000002,4.380628523893781,4.3437969713446165,4.225624638697241,4.3421607113503455,4.346012687168991,2.834252393798286,4.095973595746206,3.9331676014495898,3.9887890030302007,2.939357441200406,1.6950171692761105,2.915902506782875,3.8150679121590496,3.88779773158339,3.978170384028296,1.6879774847408053,0.789498504626485,0.9883366280860904,2.75105584185236,3.78281102189543,3.8488159906676356,0.71213406722464,2.7336768878087,3.6314397539701404,0.04282166177680005,-0.2450497505,0.030354579643359997,0.6654521492813199,1.5450790649875554,2.494185674970776
5.851985059900001,5.228175914952476,5.183877283630501,5.065664961851527,5.1822020330441845,5.287434290935761,3.745439734982207,4.939432370453415,4.712796363814939,4.828771505989454,3.850845134675017,2.5417224323747742,3.7395095108930763,4.588635063946335,4.640666394736592,4.721993108054325,2.5232412163780835,1.5574086952365422,1.7549096656734429,3.5010325809883107,4.532523114833524,4.591613668270614,1.4278807132251965,3.4811328768772865,4.3734088121448735,0.493989600458318,-0.06460509447177436,0.4830483090001906,1.3054621450278452,2.253991893903684,3.225987494400226
6.793465209301001,6.066508591302076,6.0154860157394605,5.8973056726175965,6.01384284266567,6.22402669600668,4.665077012989464,5.778080698423279,5.490013442551539,5.660400768356906,4.770512147559052,3.4298513412542695,4.567935829534895,5.362172134798769,5.387159973659448,5.458461316046627,3.403853687912461,2.386581103763923,2.557477218973577,4.2456354037966815,5.276579763308016,5.327002815370047,2.2311274245900314,4.222357934161345,5.10915765248352,1.1233905909670237,0.3284479548575766,1.079569584044091,1.9936430846872313,2.9777594478722955,3.9562577386608275
7.725530557207991,6.895792270408356,6.838719250682053,6.720630054569495,6.837167234404254,7.153445712957012,5.5858270503074205,6.610028759409804,6.264478803404104,6.483722883525878,5.69126512862981,4.331359774425355,5.396650237280489,6.13364513101706,6.1278734107719774,6.187702737453979,4.3014986652427325,3.256614022055099,3.3693946112401374,4.985224118860899,6.014321882835789,6.055180507657562,3.0876153508954958,4.95787121561779,5.837806272850919,1.8607849363119406,0.9047580431076828,1.7427201007130173,2.70312681348293,3.7011677498407063,4.682920562233727
8.648275251635912,7.716184118751368,7.653684085517948,7.53572120045293,7.652258381256571,8.074808204871909,6.5023305003104985,7.4346477576808585,7.035731286084263,7.298813580586294,6.607768870064415,5.2378836480387,6.221178263091364,6.902395053453245,6.8630891803100385,6.909945000739159,5.205735137917296,4.139855375716686,4.185088963876831,5.73683487667903,6.7462757993567335,6.776228354084974,3.9681347823495523,5.687115002564347,6.559475033423192,2.669180112871776,1.602883762094378,2.4359350162196587,3.4165439669434594,4.421117942869504,5.403567310993298
9.561792499119553,8.527834774273746,8.460469943839703,8.342661435644883,8.459198616544445,8.9875707311087,7.412529298945123,8.251485938904164,7.8033510133368855,8.105753726911288,7.517967697550762,6.141929346817709,7.040128615530943,7.667641655475475,7.592988296170599,7.628995782338006,6.108566405940782,5.0280954353242695,4.999965519355537,6.498901993895093,7.474359890651187,7.4902454398173735,4.85863291613571,6.410462846653299,7.274185269998067,3.515697071242495,2.381361634289134,3.1382179550307128,4.128001116207453,5.135340371904643,6.117748066603586
