"(0, 0)","(1, 0)","(2, 0)","(0, 1)","(1, 1)","(1, 2)","(2, 2)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5033120000000001,1.552944,1.9900000000000002,-0.07959999999999999,0.40731200000000006,-0.07959999999999999,-0.07959999999999999
1.231879136,2.4661453440000005,2.970100000000001,0.29506659200000007,1.126375136,-0.11880399999999999,-0.11880399999999999
2.0643547395200006,3.4039787275200006,3.940399000000001,0.980371006784,1.9579098435200009,0.060565915712000026,-0.15761595999999997
2.9573790010799366,4.3476229765329615,4.900995010000002,1.7898587578799368,2.8508409563759365,0.7330566416833287,-0.02323975483609598
3.873293935551133,5.290235977277981,5.851985059900001,2.665673440566641,3.7667466691254368,1.520137909247618,0.5359793887556493
4.79722466423982,6.2274134494347395,6.793465209301001,3.568458387816013,4.690676484863676,2.3788189744496693,1.2700731430977321
5.720314074105842,7.157315349261936,7.725530557207991,4.481056286473227,5.6137658043476035,3.2682560956492246,2.095499110097489
6.638529422312782,8.078957235516075,8.648275251635912,5.393876133683089,6.531981143606717,4.1691142824122265,2.9633676515534892
7.549742280572322,8.991916898828798,9.561792499119553,6.302375172923414,7.443194000980422,5.071444777199125,3.8486853066780746
8.452957811768487,9.8960156383838,10.466174574128358,7.204207234429759,8.346409532088888,5.970102527080337,4.738623954263966
9.347703725173597,10.791210354586457,11.361512828387074,8.09825364680599,9.241155445485317,6.862520271067486,5.626568744391892
10.233788380658455,11.67752237428967,12.247897700103204,8.98398285047433,10.127240100969315,7.747414925354849,6.509176666075043
11.111157072319564,12.55500646353238,13.125418723102172,9.861171469674419,11.00460879263034,8.624176727519258,7.384769600763899
11.979825644775051,13.42373353905703,13.99416453587115,10.729748647245268,11.873277365085817,9.49253585026326,8.252532349146506
12.839844817843183,14.283782391920093,14.854222890512439,11.589721485882619,12.733296538153947,10.352397424889535,9.112089798539511
13.691282718469568,15.135235343363183,15.705680661607316,12.441135880111421,13.584734438780334,11.203755093337403,9.963292540623335
14.534215833203161,15.978176092425203,16.54862385499124,13.284057074598183,14.427667553513928,12.046647391276137,10.806105956966643
15.368724483073095,16.812688614101038,17.383137616441328,14.118559678080004,15.262176203383863,12.881135283859066,11.640553713370096
16.19489051432218,17.638856609152537,18.209306240276916,14.944722642858816,16.088342234632947,13.707290763805707,12.46668878006366
17.01279613700973,18.45676322783408,19.027213177874145,15.76262671021485,16.906247857320498,14.525191024672361,13.284578663386727
17.82252333831983,19.266490934306628,19.836941046095404,16.572353122697706,17.715975058630594,15.334915502115683,14.094297866891084
